,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
0,ABMD,ABT,ADBE,MMM,ALB
1,AGN,ACN,AMD,ABBV,ADS
2,ALL,AAP,AES,ATVI,AAL
3,AMP,AFL,ALGN,ALK,APA
4,APH,A,AMZN,ALXN,COG
5,AMAT,APD,ANSS,MO,CPRI
6,APTV,AKAM,AAPL,AMCR,XEC
7,ADM,ARE,ADSK,AIG,CXO
8,ARNC,ALLE,BLL,ABC,COTY
9,ANET,LNT,BSX,AOS,DVN
10,T,GOOGL,CDNS,BKR,FANG
11,AVY,GOOG,KMX,BK,DD
12,BAC,AEE,CDW,BIIB,DXC
13,BLK,AEP,CMG,BWA,FDX
14,BA,AXP,CTAS,CHRW,BEN
15,BKNG,AMT,CPRT,CAH,FCX
16,BXP,AWK,DHR,CCL,GPS
17,BMY,AME,DG,CAT,GE
18,AVGO,AMGN,EW,CNP,HAL
19,CPB,ADI,EL,CTL,HBI
20,COF,ANTM,FISV,SCHW,HOG
21,CBOE,AON,FLT,CVX,HP
22,CE,AIV,FTNT,CFG,IVZ
23,CERN,AJG,GRMN,CTSH,IPGP
24,CF,AIZ,GPN,CL,KHC
25,CB,ATO,HCA,CMA,LB
26,CI,ADP,HES,CAG,M
27,C,AZO,IDXX,STZ,MRO
28,CLX,AVB,INFO,GLW,MHK
29,CMCSA,BAX,ILMN,CTVA,MYL
30,COP,BDX,INTC,CMI,NOV
31,ED,BBY,INTU,XRAY,NWL
32,CVS,BR,ISRG,DISH,NLSN
33,DHI,CBRE,IQV,DLTR,OXY
34,DRI,CNC,KEYS,ETFC,PRGO
35,DVA,CHTR,KLAC,EMN,PVH
36,DE,CHD,LHX,EBAY,SLB
37,DAL,CINF,LRCX,EOG,TPR
38,DLR,CSCO,LW,EXPE,FTI
39,DFS,CTXS,LYV,XOM,UNM
40,D,CME,MKTX,FITB,VIAC
41,DOW,CMS,MA,F,
42,DUK,KO,MKC,FOXA,
43,EIX,COO,MU,FOX,
44,EA,COST,MSFT,GD,
45,EMR,CCI,MCO,GIS,
46,EXPD,CSX,MSI,GM,
47,FFIV,DISCA,MSCI,GILD,
48,FB,DISCK,NFLX,GS,
49,FRT,DOV,NKE,HRB,
50,FLIR,DTE,NLOK,HFC,
51,FLS,DRE,NVDA,HST,
52,FMC,ETN,ORLY,HBAN,
53,FTV,ECL,ODFL,IBM,
54,FBHS,ETR,PYPL,INCY,
55,GPC,EFX,QRVO,IP,
56,GL,EQIX,QCOM,IFF,
57,HIG,EQR,RMD,IRM,
58,HAS,ESS,SPGI,SJM,
59,HPE,EVRG,CRM,JNPR,
60,HPQ,ES,STX,KSS,
61,HII,RE,NOW,LNC,
62,ITW,EXC,SNPS,LKQ,
63,IPG,EXR,TGT,LYB,
64,JBHT,FAST,TMO,MPC,
65,JNJ,FIS,TIF,TAP,
66,JCI,FE,TDG,MOS,
67,K,FRC,TWTR,NWSA,
68,KEY,IT,UAA,NWS,
69,KMB,GWW,UA,NBL,
70,KIM,PEAK,VRSN,JWN,
71,KMI,HSIC,VRTX,NUE,
72,KR,HSY,V,PKG,
73,LH,HLT,,PBCT,
74,LVS,HOLX,,PM,
75,LEG,HD,,PXD,
76,LEN,HON,,PFG,
77,L,HRL,,PRU,
78,MTB,HUM,,REG,
79,MAR,IEX,,REGN,
80,MLM,IR,,RF,
81,MAS,ICE,,SEE,
82,MXIM,JKHY,,SPG,
83,MCK,J,,SLG,
84,MET,JPM,,SNA,
85,MGM,KSU,,LUV,
86,MCHP,LDOS,,STT,
87,MNST,LLY,,SYF,
88,MS,LIN,,TXT,
89,NTAP,LMT,,UPS,
90,NEM,LOW,,URI,
91,NI,MMC,,VNO,
92,NTRS,MCD,,WBA,
93,NCLH,MDT,,,
94,NVR,MRK,,,
95,OMC,MTD,,,
96,ORCL,MAA,,,
97,PCAR,MDLZ,,,
98,PH,NDAQ,,,
99,PNR,NEE,,,
100,PFE,NSC,,,
101,PSX,NOC,,,
102,PNW,NRG,,,
103,PNC,OKE,,,
104,PPG,PAYX,,,
105,PSA,PEP,,,
106,PWR,PKI,,,
107,DGX,PPL,,,
108,RL,PG,,,
109,RJF,PGR,,,
110,RHI,PLD,,,
111,ROK,PEG,,,
112,ROL,PHM,,,
113,RCL,RTN,,,
114,SWKS,O,,,
115,SWK,RSG,,,
116,SIVB,ROP,,,
117,TTWO,ROST,,,
118,TEL,SBAC,,,
119,TXN,SRE,,,
120,TRV,SHW,,,
121,TFC,SO,,,
122,TSN,SBUX,,,
123,ULTA,STE,,,
124,USB,SYK,,,
125,UAL,SYY,,,
126,UTX,TMUS,,,
127,VFC,TROW,,,
128,VLO,TFX,,,
129,VTR,TJX,,,
130,VZ,TSCO,,,
131,VMC,UDR,,,
132,WAB,UNP,,,
133,WMT,UNH,,,
134,WAT,UHS,,,
135,,VAR,,,
136,,VRSK,,,
137,,WRB,,,
138,,DIS,,,
139,,WM,,,
140,,WEC,,,
